words,oxford_category,char_length,rare,gibberish,spec_char,number,sentence,word_length,LAION_freq,CoCo_freq,source
act,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,592,23,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
add,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1091,21,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
age,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1357,37,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
ago,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,135,26,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
aid,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,764,21,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
aim,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,161,9,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
air,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2992,7887,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
all,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,12746,2761,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
and,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,72155,146767,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
any,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1405,106,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
app,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,581,7,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
arm,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,284,841,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
art,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,5932,360,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
ash,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,261,9,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
ask,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1040,1,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bad,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2850,69,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bag,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1509,2022,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
ban,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,330,13,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bar,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,3094,916,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bat,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,304,5779,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bay,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1442,211,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bed,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,822,12530,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bee,B1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,922,21,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
beg,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,35,4,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bet,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,288,7,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bid,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,112,7,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
big,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,8975,5753,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bit,A2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,236,148,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bow,C1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,303,488,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
box,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,3167,3008,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
boy,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2577,11317,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bug,B2,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,351,51,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bus,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,849,13376,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
but,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2801,444,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
buy,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,2353,57,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
bye,A1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,279,7,https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
