prompts,type
"A cat holding a sign with the text ""snow"" on it. ",simple
"A sign with the text ""hello"" written on it.",simple
"A board with the text ""Spring"" on it.",simple
"A paper with the text ""welcome"" written on it.",simple
"A T-shirt printed with the text ""adventure"" on it.",simple
"A barista creating latte art in a white ceramic cup in a minimalist cafe, the foam forming the text ""text"", steam rising, and a small succulent plant on the counter.",complex
"A beach at sunset with surfers catching waves, a surfboard stuck upright in the sand with ""text"" painted in bright colors, and a bonfire starting nearby.",complex
"A beach towel spread out on the sand and big letters that read ""text"" and seashells scattered nearby.",complex
"A beautifully wrapped gift box with shimmering paper and a satin ribbon, a tag attached that says ""text"" in fancy handwriting, placed under a decorated Christmas tree.",complex
"A billboard in a futuristic cityscape filled with towering skyscrapers and flying vehicles, holographic letters displaying ""text"" in mid-air, and pedestrians in modern attire walking below.",complex
"A blackboard in a bright classroom and desks neatly arranged and with white chalk writing that says ""text"".",complex
"A bookmark placed in a novel and tassel hanging out and decorated with stars and the words ""text"" written on it.",complex
"A bright balloon floating at a fair and printed with the text ""text"" and among other colorful balloons.",complex
"A bustling harbor with ships docking, sailors unloading crates, one large crate stamped with ""text"", seagulls flying overhead.",complex
"A bustling kitchen in a five-star restaurant, chefs preparing dishes, a menu pinned on the wall featuring ""text"".",complex
"A bustling newsroom with reporters typing, a headline on a large screen reading ""text"", phones ringing.",complex
"A bustling open-air market in a Mediterranean town, colorful stalls filled with spices and fabrics, a vendor's sign hanging above that reads ""text"" in elegant script.",complex
"A campfire burning brightly in a clearing within a dense forest at night, logs arranged in the shape of the text ""text"", people sitting around the fire roasting marshmallows, and stars visible in the clear sky above.",complex
"A canvas tote bag hanging on a hook by the door and filled with fresh groceries and with text ""text"" printed on the side.",complex
"A chalkboard at a rustic countryside café, today's special written as ""text"" with artistic flourishes and drawings of ingredients, baskets of fresh bread on display.",complex
"A chalkboard menu hanging in a cozy coffee shop adorned with rustic wooden furniture and potted plants hanging from the ceiling, baristas working behind the counter, and in colorful chalk letters among other drink options is ""text"" written prominently.",complex
"A chalkboard outside a small bakery on a cobblestone street and decorated with colorful chalk drawings of pastries and the text ""text"" written on it.",complex
"A charity gala event in an elegant hall, a large banner at the entrance that reads ""text"", guests dressed formally.",complex
"A children's chalk drawing on a sidewalk in a neighborhood park, filled with colorful scribbles of houses, trees, and stick figures, and in big playful letters it says ""text"", with the child artist smiling nearby.",complex
"A children's playground with swings and slides, a mural painted on a wall with the text ""text"" in playful letters, kids playing nearby.",complex
"A children's storybook illustration of a magical land, a castle with banners that read ""text"", whimsical creatures playing in the foreground.",complex
